Feature,Importance
Model_X7,0.00015290370986300144
Make_Proton,0.00015036211682832503
Model_B 180,0.00014442889414001595
Model_Tipo,0.00014038151695507198
Color_Bronze,0.00013698523392712784
Model_Elantra MD,0.00013221324229478466
Model_Accent RB,0.00013164025722285291
City_Hurghada,0.00012817610619794107
Model_Kuga,0.00012437628302821815
City_Damietta,0.0001227733985455327
Model_M4,0.00011861449445846286
Color_Brown,0.00011732281623015532
Color_Gold,0.00011719793189112779
Model_2008,0.00011548961394274126
Model_B 160,0.00011427437324597719
Model_750,0.0001141486577631545
City_Tanta,0.00010978109063448803
Make_Isuzu,0.00010824600062084331
Model_Megane,0.000104146009390671
Model_A6,0.00010239828192041216
Model_E 180,0.0001006815741628449
Model_Duster,9.995710908066853e-05
Make_Chrysler,9.890764662954477e-05
Model_A 45 AMG,9.807288936076192e-05
Model_D max,9.721669262069787e-05
Model_Formentor,9.682590012578765e-05
Model_316,9.21674732893476e-05
Model_Lancer EX Shark,9.098252731152771e-05
Model_Sentra,8.934751393671671e-05
Model_Carens,8.860895599499232e-05
City_Madinaty,8.77657687849721e-05
Model_Sandero Step Way,8.703420778287272e-05
Color_Dark red,8.458312890353372e-05
City_Monufia,8.446352660089808e-05
Make_DFSK,8.385341970547235e-05
Model_Cerato,8.25665835018358e-05
City_Kafr el-Sheikh,8.083300935983622e-05
Model_Charger,8.069764505416573e-05
Model_Xceed,7.787068885345327e-05
Model_EQA,7.69686032385328e-05
Model_Tiggo 7,7.691013074060258e-05
Make_Alfa Romeo,7.536201327618328e-05
Model_Elantra AD,7.497055493947803e-05
City_Obour City,7.4312857983961e-05
Color_Mocha,7.392192343175284e-05
Make_Jetour,7.336807621398699e-05
City_Zamalek,7.249930571879719e-05
City_Ismailia,7.072667848476746e-05
Model_Emgrand 7,7.036083318906606e-05
Model_Q3,6.984081758806936e-05
Model_Octavia A4,6.95209159118126e-05
City_Pyramids Gardens,6.89676451853164e-05
Model_Navigator,6.760391210151085e-05
Model_Envy,6.735063226904845e-05
Model_Fantasia,6.667477937304466e-05
Model_6,6.646636307571652e-05
Model_N300,6.634689388960565e-05
Model_Saga,6.519443376607251e-05
Model_Wrangler Unlimited,6.491399485900288e-05
Model_Matrix,6.324522712954123e-05
Model_ID 4,6.29156657332642e-05
Model_Eclipse,6.279175094825767e-05
Model_Astra,6.21151969459522e-05
Model_Dart,6.164501662646839e-05
Model_Yaris,6.153061482993093e-05
Model_E 350,6.033429698828762e-05
Model_Elantra,5.868775724362641e-05
Model_Turan,5.786796512230755e-05
Model_Saipa,5.7829686797814907e-05
Model_Jetta,5.756066583597829e-05
Model_H6,5.707429699455264e-05
Model_500 X,5.7021615098582435e-05
Model_Superb,5.656767254352327e-05
Model_Hilux,5.6431243216513995e-05
Model_Creta,5.640301200960403e-05
Model_Avante,5.581934209125334e-05
Make_Subaru,5.493281846237874e-05
Model_XV,5.473990962807496e-05
Model_Cherokee,5.438710236369457e-05
City_Damanhur,5.4097279906636295e-05
Model_A3,5.394719647309776e-05
Model_Octavia A8,5.35348899597813e-05
Model_E 250,5.2494676436921914e-05
Make_Haval,5.1809006588874694e-05
Model_C Elysee,5.1787554528854276e-05
City_Port Said,5.135525189691446e-05
Model_Cruze,5.133868697265107e-05
Model_Octavia A5,5.0851712324414756e-05
City_Suez,5.0832048709094975e-05
Model_CC,4.984475861899252e-05
Make_Daihatsu,4.960907083269962e-05
Model_Ibiza,4.878360237261455e-05
Color_Champagne,4.8293128099155794e-05
Model_Tiggo 8,4.784162276319959e-05
Model_Rx5,4.491851786625737e-05
City_Al Shorouk,4.432910063249262e-05
Make_Daewoo,4.413800374383471e-05
Model_A 180,4.3988164121778884e-05
Model_ZS,4.287560825352902e-05
Model_Range Rover,4.204400154558644e-05
City_Shobra,4.1314120087520946e-05
Color_Cyan,4.1080169187836626e-05
Model_Tiggo,4.0454347714018456e-05
Model_Imperial,4.0104109096410116e-05
Model_Rio,3.9949149096147964e-05
Model_Grand Cerato,3.9719983058478605e-05
Model_Tiggo 7 pro,3.94647804224729e-05
Model_Ram,3.9046734718303455e-05
City_Beheira,3.9001180491093325e-05
Make_Brilliance,3.889093384731797e-05
City_El Mahalla,3.8856383780911776e-05
Model_Juke,3.846238120587257e-05
Model_T-Roc,3.830057604093592e-05
Model_C4 Grand Picasso,3.811780557686132e-05
City_Dokki,3.789536633575415e-05
Model_XC60,3.71710069362503e-05
Model_N-Series,3.692084333187945e-05
City_10th of Ramadan,3.5888189535693644e-05
Model_C-HR,3.544389669789291e-05
City_Dakahlia,3.5066316860807984e-05
Model_Cooper,3.4776026284940316e-05
Model_XC 40,3.3892564682651116e-05
City_Helwan,3.386181019167216e-05
